PRES	MOLEFRAC METHA-01	TOTAL TEMP	TOTAL KVL METHA-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA METHA-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA METHA-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 METHA-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC METHA-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA METHA-01
bar		K															
1	0.312	345.1493	1.456177	0.7931292	1.082368	1.008235					1	0.4543271	0.5456729	0.312	0.688			1.082368
1	0.314	345.1168	1.454029	0.792179	1.082063	1.008364					1	0.4565652	0.5434348	0.314	0.686			1.082063
1	0.316	345.0844	1.451888	0.7912329	1.081757	1.008495					1	0.4587967	0.5412033	0.316	0.684			1.081757
1	0.318	345.052	1.449753	0.790291	1.081451	1.008627					1	0.4610215	0.5389785	0.318	0.682			1.081451
1	0.32	345.0197	1.447624	0.7893533	1.081146	1.00876					1	0.4632398	0.5367602	0.32	0.68			1.081146
1	0.322	344.9875	1.445501	0.7884197	1.08084	1.008894					1	0.4654515	0.5345485	0.322	0.678			1.08084
1	0.324	344.9553	1.443385	0.7874902	1.080533	1.00903					1	0.4676566	0.5323434	0.324	0.676			1.080533
1	0.326	344.9233	1.441274	0.7865649	1.080227	1.009168					1	0.4698553	0.5301447	0.326	0.674			1.080227
1	0.328	344.8912	1.439169	0.7856437	1.07992	1.009307					1	0.4720475	0.5279525	0.328	0.672			1.07992
1	0.33	344.8593	1.43707	0.7847265	1.079614	1.009447					1	0.4742332	0.5257668	0.33	0.67			1.079614
1	0.332	344.8274	1.434978	0.7838135	1.079307	1.009588					1	0.4764125	0.5235875	0.332	0.668			1.079307
1	0.334	344.7956	1.432891	0.7829046	1.079	1.009731					1	0.4785855	0.5214145	0.334	0.666			1.079
1	0.336	344.7639	1.43081	0.7819998	1.078693	1.009876					1	0.4807521	0.5192479	0.336	0.664			1.078693
1	0.338	344.7322	1.428735	0.7810991	1.078385	1.010022					1	0.4829124	0.5170876	0.338	0.662			1.078385
1	0.34	344.7006	1.426666	0.7802024	1.078078	1.010169					1	0.4850664	0.5149336	0.34	0.66			1.078078
1	0.342	344.6691	1.424603	0.7793099	1.07777	1.010318					1	0.4872141	0.5127859	0.342	0.658			1.07777
1	0.344	344.6376	1.422545	0.7784213	1.077463	1.010468					1	0.4893556	0.5106444	0.344	0.656			1.077463
1	0.346	344.6062	1.420494	0.7775369	1.077155	1.01062					1	0.4914909	0.5085091	0.346	0.654			1.077155
1	0.348	344.5749	1.418448	0.7766564	1.076847	1.010773					1	0.49362	0.50638	0.348	0.652			1.076847
1	0.35	344.5436	1.416408	0.7757801	1.076539	1.010928					1	0.495743	0.504257	0.35	0.65			1.076539
1	0.352	344.5124	1.414374	0.7749077	1.07623	1.011084					1	0.4978598	0.5021402	0.352	0.648			1.07623
1	0.354	344.4813	1.412346	0.7740394	1.075922	1.011242					1	0.4999706	0.5000294	0.354	0.646			1.075922
1	0.356	344.4502	1.410324	0.7731751	1.075613	1.011401					1	0.5020753	0.4979247	0.356	0.644			1.075613
1	0.358	344.4192	1.408307	0.7723148	1.075305	1.011562					1	0.5041739	0.4958261	0.358	0.642			1.075305
1	0.36	344.3883	1.406296	0.7714585	1.074996	1.011725					1	0.5062666	0.4937334	0.36	0.64			1.074996
1	0.362	344.3574	1.404291	0.7706062	1.074687	1.011889					1	0.5083533	0.4916467	0.362	0.638			1.074687
1	0.364	344.3266	1.402291	0.7697579	1.074378	1.012054					1	0.510434	0.489566	0.364	0.636			1.074378
1	0.366	344.2959	1.400297	0.7689135	1.074069	1.012221					1	0.5125088	0.4874912	0.366	0.634			1.074069
1	0.368	344.2653	1.398309	0.7680732	1.07376	1.01239					1	0.5145777	0.4854223	0.368	0.632			1.07376
1	0.37	344.2347	1.396326	0.7672368	1.07345	1.01256					1	0.5166408	0.4833592	0.37	0.63			1.07345
1	0.372	344.2041	1.39435	0.7664044	1.073141	1.012732					1	0.518698	0.481302	0.372	0.628			1.073141
1	0.374	344.1737	1.392378	0.765576	1.072831	1.012906					1	0.5207494	0.4792506	0.374	0.626			1.072831
1	0.376	344.1433	1.390412	0.7647515	1.072522	1.013081					1	0.5227951	0.4772049	0.376	0.624			1.072522
1	0.378	344.113	1.388452	0.763931	1.072212	1.013258					1	0.5248349	0.4751651	0.378	0.622			1.072212
1	0.38	344.0827	1.386498	0.7631144	1.071902	1.013437					1	0.5268691	0.4731309	0.38	0.62			1.071902
